ID;PRODUTO;CATEGORIA;PRECO;CUSTO;CUSTO_DOLAR;PESO_PRODUTO;PESO_CUBICO;ESTOQUE_ATUAL;ESTOQUE_MINIMO;INICIO_OFERTA;FIM_OFERTA;PRECO_OFERTA;MARCA;MODELO;REFERENCIA;GARANTIA;DISPONIBILIDADE;DESC_SIMPLES;VAZIO;ITENS_INCLUSOS;CARACTERISTICAS;MENSAGEM_ADICIONAL;DISPONIVEL;URL_PRODUTO;QUANTIDADE_VENDIDA;IMAGEM;VIDEO;EAN_GTIN_UPC;ALTURA;LARGURA;COMPRIMENTO;DATA_CADASTRO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4;IMAGEM 5;IMAGEM 6;IMAGEM 7;IMAGEM 8;IMAGEM 9;IMAGEM 10;IMAGEM 11;IMAGEM 12;IMAGEM 13;IMAGEM 14;IMAGEM 15;IMAGEM 16;CATEGORIA ADICIONAL 1;CATEGORIA ADICIONAL 2;CÓDIGO CATEGORIA ADICIONAL 1;CÓDIGO CATEGORIA ADICIONAL 2;GÊNERO;IDADE;DATA_ATIVACAO;DATA_DESATIVACAO;GRUPO_IMPOSTO_CODIGO;GRUPO_IMPOSTO_NOME;SELO_DESTAQUE;SELO_LANCAMENTO;SELO_ADICIONAL;SEO_TITULO;SEO_DESCRICAO_SIMPLIFICADA;SEO_PALAVRAS_CHAVES
109;Blusa Plus Size, Feminina, Poliéster, Estampada;Blusas;29,99;13;0;243;390;1;0;;;0;Ilha Modas e Utilidades;CASUAL;1115108199;30 dias após o recebimento do produto;Imediata;;;1 blusa;gênero: feminino, idade: adulto,;Para passeio e dia a dia, confortável, material flexível, não possui bojo.;Sim;http://www.ilhamodas.com/feminino/blusa/blusa-plus-importada;6;https://images.tcdn.com.br/img/img_prod/786759/blusa_plus_size_feminina_poliester_estampada_109_1_20200707182542.png;;;2;26;36;06/05/2020 18:20:13;https://images.tcdn.com.br/img/img_prod/786759/blusa_plus_size_feminina_poliester_estampada_109_1_20200707182542.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_plus_size_feminina_poliester_estampada_109_2_20200707182542.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_plus_size_feminina_poliester_estampada_109_3_20200707182543.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_plus_size_feminina_poliester_estampada_109_4_20200707182543.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_plus_size_feminina_poliester_estampada_109_5_20200707182544.png;;;;;;;;;;;;PLUS SIZE > Blusas;;91;;feminino;adulto;16/03/2021;05/03/2021;;;Sim;Não;Não;;;
145;Blusa Plus Zise Feminina Viscolycra, Bordada na gola, Com laço, Cores;Blusas;29,99;15;0;213;390;2;0;;;0;Ilha Modas e Utilidades;CASUAL;1115110399;30 dias após o recebimento do produto;Imediata;;;1 blusa;gênero: feminino, idade: adulto,;Para passeio e dia a dia, confortável, material flexível, não possui bojo.;Sim;http://www.ilhamodas.com/feminino/blusa/blusa-bordada-com-laco-cores;0;https://images.tcdn.com.br/img/img_prod/786759/blusa_bordada_com_laco_cores_145_1_20200523181717.png;;;2;26;36;11/05/2020 14:41:48;https://images.tcdn.com.br/img/img_prod/786759/blusa_bordada_com_laco_cores_145_1_20200523181717.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_bordada_com_laco_cores_145_2_20200523181717.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_bordada_com_laco_cores_145_3_20200523181718.png;;;;;;;;;;;;;;;;;;feminino;adulto;16/03/2021;05/03/2021;;;Não;Não;Não;;;
143;Blusa Plus Zize Feminina Viscolycra, Bordada na gola, Com pérolas sintéticas, Cores;Blusas;29,99;15;0;212;390;2;0;;;0;Ilha Modas e Utilidades;CASUAL;1115110299;30 dias após o recebimento do produto;Imediata;;;1 blusa;gênero: feminino, idade: adulto,;Para passeio e dia a dia, confortável, material flexível, não possui bojo.;Sim;http://www.ilhamodas.com/feminino/blusa/blusa-bordada-com-perola-cores-;0;https://images.tcdn.com.br/img/img_prod/786759/blusa_bordada_com_perola_cores_143_1_20200523182618.png;;;2;26;36;11/05/2020 14:38:20;https://images.tcdn.com.br/img/img_prod/786759/blusa_bordada_com_perola_cores_143_1_20200523182618.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_bordada_com_perola_cores_143_2_20200523182618.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_bordada_com_perola_cores_143_3_20200523182618.png;;;;;;;;;;;;;;;;;;feminino;adulto;16/03/2021;05/03/2021;;;Não;Não;Sim;;;
263;Blusa Viscolycra Infantil Menina Estampada;Blusas;10;10;0;137;390;5;0;;;0;Ilha Modas e Utilidades;CASUAL;8015120399;30 dias após o recebimento do produto;Imediata;;;1 camiseta;gênero: feminino, idade: infantil,;Para o dia a dia e passeio, com estampas em relevo.;Não;http://www.ilhamodas.com/menina/camisetas/camiseta-feminina-infantil-com-personagem-cores;0;https://images.tcdn.com.br/img/img_prod/786759/blusa_viscolycra_estampada_infantil_263_1_20200604111051.png;;;2;26;36;16/05/2020 13:03:34;https://images.tcdn.com.br/img/img_prod/786759/blusa_viscolycra_estampada_infantil_263_1_20200604111051.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_viscolycra_estampada_infantil_263_2_20200604111052.png;https://images.tcdn.com.br/img/img_prod/786759/camiseta_feminina_infantil_com_personagem_cores_263_3_20200516130335.png;https://images.tcdn.com.br/img/img_prod/786759/camiseta_feminina_infantil_com_personagem_cores_263_4_20200516130335.png;https://images.tcdn.com.br/img/img_prod/786759/camiseta_feminina_infantil_com_personagem_cores_263_5_20200516130335.png;https://images.tcdn.com.br/img/img_prod/786759/camiseta_feminina_infantil_com_personagem_cores_263_6_20200529162327.png;;;;;;;;;;;INFANTIL > MENINA > Blusas;;117;;feminino;infantil;16/03/2021;22/04/2021;;;Sim;Não;Não;;;
259;Blusa Viscose Infantil Menina Estampada;Blusas;10;6;0;80;390;2;0;;;0;Ilha Modas e Utilidades;CASUAL;8015120199;30 dias após o recebimento do produto;Imediata;;;1 camiseta;gênero: feminino, idade: infantil,;Para o dia a dia e passeio.;Não;http://www.ilhamodas.com/menina/calcas/camiseta-feminina-infantil-com-estampa-de-personagem-cores;0;https://images.tcdn.com.br/img/img_prod/786759/blusa_viscose_estampada_infantil_259_1_20200604113924.png;;;2;26;36;16/05/2020 12:32:14;https://images.tcdn.com.br/img/img_prod/786759/blusa_viscose_estampada_infantil_259_1_20200604113924.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_viscose_estampada_infantil_259_2_20200604113924.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_viscose_estampada_infantil_259_3_20200604113924.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_viscose_estampada_infantil_259_4_20200604113924.png;;;;;;;;;;;;;INFANTIL > MENINA > Blusas;;117;;feminino;infantil;16/03/2021;22/04/2021;;;Não;Não;Sim;;;
19;Calça Feminina Flare, Cores, Tamanhos;Calças;20;15;0;380;390;14;1;;;0;Ilha Modas e Utilidades;FLARE;1316101299;30 dias após o recebimento do produto;Imediata;Calça flare super confortável e modela o corpo, aqui na Ilhamodas.com você encontra uma enorme diversidade de modelos de calças e cores, com condições e preços incríveis para oferecer uma excelente experíência aos nossos consumidores.;;1 Calça;gênero: feminino, idade: adulto,;Tecido flexível e confortável - Cintura média - Não precisa passar a ferro.;Não;http://www.ilhamodas.com/feminino/calca/calca-flare;13;https://images.tcdn.com.br/img/img_prod/786759/calca_feminina_flare_cores_tamanhos_19_1_20200825101128.png;;;2;26;36;03/05/2020 13:31:07;https://images.tcdn.com.br/img/img_prod/786759/calca_feminina_flare_cores_tamanhos_19_1_20200825101128.png;https://images.tcdn.com.br/img/img_prod/786759/calca_feminina_flare_cores_tamanhos_19_2_20200825101128.png;https://images.tcdn.com.br/img/img_prod/786759/calca_feminina_flare_cores_tamanhos_19_3_20200825101129.png;https://images.tcdn.com.br/img/img_prod/786759/calca_feminina_flare_cores_tamanhos_19_4_20200825101129.png;https://images.tcdn.com.br/img/img_prod/786759/calca_feminina_flare_cores_tamanhos_19_5_20200825101130.png;https://images.tcdn.com.br/img/img_prod/786759/calca_feminina_flare_cores_tamanhos_19_6_20200825101130.png;https://images.tcdn.com.br/img/img_prod/786759/calca_feminina_flare_cores_tamanhos_19_7_20200825101131.png;https://images.tcdn.com.br/img/img_prod/786759/calca_feminina_flare_cores_tamanhos_19_8_20200825101132.png;https://images.tcdn.com.br/img/img_prod/786759/calca_feminina_flare_cores_tamanhos_19_9_20200825101132.png;https://images.tcdn.com.br/img/img_prod/786759/calca_feminina_flare_cores_tamanhos_19_10_20200825102906.png;;;;;;;FEMININO;;3;;feminino;adulto;16/03/2021;19/09/2021;;;Não;Não;Não;[palavra_buscada][nome_produto][nome_loja];Calça flare super confortável e modela o corpo, aqui na Ilhamodas.com você encontra uma enorme diversidade de modelos de calças e cores, com condições e preços incríveis para oferecer uma excelente experíência aos nossos consumidores.;Calças, calças cumpridas, calças coloridas, calças lisas, calças estampadas, calças femininas, calças femininas, calça, calças confortáveis, conforto, calças de qualidade, calças de trabalho, calças do dia a dia, calças para mulher, calças boas
157;Calça Feminina Flare, Plus Size, Suplex, Lisa;Calças;24,99;20;0;450;390;3;0;;;0;Ilha Modas e Utilidades;FLARE;1316118299;30 dias após o recebimento do produto;Imediata;Calça flare super confortável e modela o corpo, aqui na Ilhamodas.com você encontra uma enorme diversidade de modelos de calças e cores, com condições e preços incríveis para oferecer uma excelente experíência aos nossos consumidores;;1 Calça;gênero: feminino, idade: adulto,;Tecido flexível e confortável - Cintura alta - Não precisa passar a ferro.;Sim;http://www.ilhamodas.com/feminino/calca/calca-flare-bailarina-plus;18;https://images.tcdn.com.br/img/img_prod/786759/calca_flare_bailarina_plus_157_1_20200511185304.png;;;2;26;36;11/05/2020 18:53:04;https://images.tcdn.com.br/img/img_prod/786759/calca_flare_bailarina_plus_157_1_20200511185304.png;https://images.tcdn.com.br/img/img_prod/786759/calca_flare_bailarina_plus_157_2_20200511185304.png;;;;;;;;;;;;;;;PLUS SIZE > Calças;;93;;feminino;adulto;16/03/2021;05/03/2021;;;Sim;Não;Não;[palavra_buscada][nome_produto][nome_loja];Calça flare super confortável e modela o corpo, aqui na Ilhamodas.com você encontra uma enorme diversidade de modelos de calças e cores, com condições e preços incríveis para oferecer uma excelente experíência aos nossos consumidores;Calças, calças cumpridas, calças coloridas, calças lisas, calças estampadas, calças femininas, calças femininas, calça, calças confortáveis, conforto, calças de qualidade, calças de trabalho, calças do dia a dia, calças para mulher, calças boas
165;Calça Feminina legging, Arrastão, Cores, Tamanhos;Calças;20;12;0;320;390;1;0;;;0;Ilha Modas e Utilidades;ESPORTE;1318118699;30 dias após o recebimento do produto;Imediata;;;1 calça;gênero: feminino, idade: adulto,;Tecido flexível e confortável - Cintura média - Não precisa passar a ferro.;Não;http://www.ilhamodas.com/feminino/calca/calca-legging-arrastao;1;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_arrastao_165_1_20200518192321.png;;;2;26;36;11/05/2020 20:07:26;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_arrastao_165_1_20200518192321.png;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_arrastao_165_2_20200518192321.png;;;;;;;;;;;;;;;FEMININO;;3;;feminino;adulto;16/03/2021;19/09/2021;;;Não;Não;Não;;;
163;Calça Feminina legging, Capri, Estampada, Tamanhos;Calças;20;10;0;240;390;2;0;;;0;Ilha Modas e Utilidades;CAPRI;1318118599;30 dias após o recebimento do produto;Imediata;;;1 Calça;gênero: feminino, idade: adulto,;Tecido flexível e confortável - Cintura média - Não precisa passar a ferro.;Não;http://www.ilhamodas.com/feminino/calca/calca-legging-capri-estampas;1;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_capri_estampas_163_1_20200518204116.png;;;2;26;36;11/05/2020 19:51:09;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_capri_estampas_163_1_20200518204116.png;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_capri_estampas_163_2_20200518204116.png;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_capri_estampas_163_3_20200518204117.png;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_capri_estampas_163_4_20200518204117.png;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_capri_estampas_163_5_20200518204117.png;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_capri_estampas_163_6_20200518204117.png;;;;;;;;;;;FEMININO;;3;;feminino;adulto;16/03/2021;19/09/2021;;;Não;Não;Não;;;
29;Calça Feminina legging, Fitness, Detalhe 3D, Cores, Tamanhos;Calças;20;15;0;320;390;1;1;;;0;Ilha Modas e Utilidades;FITNESS;1318101799;30 dias após o recebimento do produto;Imediata;;;1 calça legging;gênero: feminino, idade: adulto,;Tecido flexível e confortável - Cintura média - Não precisa passar a ferro.;Não;http://www.ilhamodas.com/feminino/calca/calca-legging-treino;0;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_academia_com_detalhe_3d_29_1_20200518190104.png;;;2;26;36;03/05/2020 15:13:54;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_academia_com_detalhe_3d_29_1_20200518190104.png;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_academia_com_detalhe_3d_29_2_20200518190104.png;https://images.tcdn.com.br/img/img_prod/786759/calca_legging_academia_com_detalhe_3d_29_3_20200518190105.png;;;;;;;;;;;;;;FEMININO;;3;;feminino;adulto;16/03/2021;19/09/2021;;;Não;Não;Não;;;
